______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'Dock', 'pid': 645, 'username': 'shubhamwalhekar'} 
{'name': 'ContinuityCaptureAgent', 'pid': 647, 'username': 'shubhamwalhekar'} 
{'name': 'ControlCenter', 'pid': 648, 'username': 'shubhamwalhekar'} 
{'name': 'SystemUIServer', 'pid': 649, 'username': 'shubhamwalhekar'} 
{'name': 'Finder', 'pid': 650, 'username': 'shubhamwalhekar'} 
{'name': 'fontd', 'pid': 652, 'username': 'shubhamwalhekar'} 
{'name': 'WallpaperAgent', 'pid': 655, 'username': 'shubhamwalhekar'} 
{'name': 'awdd', 'pid': 658, 'username': 'root'} 
{'name': 'Spotlight', 'pid': 659, 'username': 'shubhamwalhekar'} 
{'name': 'filecoordination', 'pid': 660, 'username': 'root'} 
{'name': 'fontworker', 'pid': 662, 'username': 'shubhamwalhekar'} 
{'name': 'automountd', 'pid': 668, 'username': 'root'} 
{'name': 'AMPDeviceDiscoveryAgent', 'pid': 671, 'username': 'shubhamwalhekar'} 
{'name': 'corespotlightd', 'pid': 673, 'username': 'shubhamwalhekar'} 
{'name': 'ACCFinderSync', 'pid': 675, 'username': 'shubhamwalhekar'} 
{'name': 'sharingd', 'pid': 683, 'username': 'shubhamwalhekar'} 
{'name': 'nearbyd', 'pid': 688, 'username': '_nearbyd'} 
{'name': 'WallpaperVideoExtension', 'pid': 690, 'username': 'shubhamwalhekar'} 
{'name': 'commerce', 'pid': 692, 'username': 'shubhamwalhekar'} 
{'name': 'WiFiAgent', 'pid': 694, 'username': 'shubhamwalhekar'} 
{'name': 'oahd', 'pid': 700, 'username': '_oahd'} 
{'name': 'familycircled', 'pid': 706, 'username': 'shubhamwalhekar'} 
{'name': 'useractivityd', 'pid': 708, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.dock.extra', 'pid': 709, 'username': 'shubhamwalhekar'} 
{'name': 'imagent', 'pid': 711, 'username': 'shubhamwalhekar'} 
{'name': 'imklaunchagent', 'pid': 725, 'username': 'shubhamwalhekar'} 
{'name': 'StatusKitAgent', 'pid': 728, 'username': 'shubhamwalhekar'} 
{'name': 'fairplayd', 'pid': 734, 'username': '_fpsd'} 
{'name': 'PAH_Extension', 'pid': 741, 'username': 'shubhamwalhekar'} 
{'name': 'mediaremoteagent', 'pid': 754, 'username': 'shubhamwalhekar'} 
{'name': 'avconferenced', 'pid': 758, 'username': 'shubhamwalhekar'} 
{'name': 'SubmitDiagInfo', 'pid': 761, 'username': 'root'} 
{'name': 'iTermServer-3.4.23', 'pid': 769, 'username': 'shubhamwalhekar'} 
{'name': 'chrome_crashpad_handler', 'pid': 774, 'username': 'shubhamwalhekar'} 
{'name': 'distnoted', 'pid': 827, 'username': '_accessoryupdater'} 
{'name': 'distnoted', 'pid': 833, 'username': '_gamecontrollerd'} 
{'name': 'aned', 'pid': 835, 'username': 'root'} 
{'name': 'Code Helper (GPU)', 'pid': 836, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper', 'pid': 837, 'username': 'shubhamwalhekar'} 
{'name': 'CVMServer', 'pid': 838, 'username': 'root'} 
{'name': 'Code Helper (Renderer)', 'pid': 839, 'username': 'shubhamwalhekar'} 
